cluster,keyword,scope,volume_db,gsc_impressions,gsc_clicks,gsc_avg_pos,tracked_pos,best_pos,aio_on_serp,status,landing_or_target,peak_month,action
B Castilian bridge,cep setas,ca,,1,0,55,,55,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,ceps bolets en castellano,ca,,1,0,28,,28,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,ceps en castella,ca,,1,0,33,,33,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,ceps seta,ca,,1,0,92,,92,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,champiñon en catalan,ca,,1,0,38,,38,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,lleterola en castellano,ca,,1,0,26,,26,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,que son ceps en catalan,ca,,1,0,8,,8,False,page 1 (4-10),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,"Push to top-3: internal links, snippet, answer-first block"
B Castilian bridge,rebozuelos en catalan,ca,,1,0,49,,49,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,reig en castellano,ca,,1,0,23,,23,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,rovello en castella,ca,,1,0,44,,44,False,weak (21-50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,Rework: dedicated page or template upgrade
B Castilian bridge,seta cep,ca,,1,0,66,,66,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,seta ceps,ca,,1,0,82,,82,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,seta ou de reig,ca,,1,0,70,,70,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,seta pie de rata,ca,,1,0,74,,74,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
B Castilian bridge,setas de verano,ca,,1,0,97,,97,False,buried (>50),NEW: Spanish bridge pages + 'en castellà' block on each fitxa,,New/rebuilt page
C Species pages,carlet,noise,60500,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,01,Create page (or add to tracking if page exists)
C Species pages,cep,noise,14800,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,ceps,es-wide,6600,21,0,6.0,,6.0,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rossinyol,es-wide,2400,1,0,8,,8,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rovellons,es-wide,1600,17,0,6,,6,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,08,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,camagroc,ca,880,95,0,25.1,17,17,False,striking (11-20),/map/camagroc,01,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,ceps bolets,ca,880,104,1,26.8,24,24,False,weak (21-50),/compare/cep-vs-cep-estiu,,Rework: dedicated page or template upgrade
C Species pages,fredolic,ca,720,83,0,50.1,37,37,False,weak (21-50),/bolets/tricholoma-terreum,10,Rework: dedicated page or template upgrade
C Species pages,moixernons,ca,660,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,peu de rata,ca,590,7,0,19.1,,19.1,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,08,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,cua de cavall,noise,590,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,camagrocs,ca,540,21,0,42.0,,42.0,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,pebrassos,ca,480,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,01,Create page (or add to tracking if page exists)
C Species pages,carlet bolet,ca,480,68,0,34.8,25,25,False,weak (21-50),/bolets/carlet,02,Rework: dedicated page or template upgrade
C Species pages,llanega,ca,440,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,molleric,ca,390,5,0,34.2,,34.2,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,01,Rework: dedicated page or template upgrade
C Species pages,llenega,ca,390,70,0,60.6,13,13,False,striking (11-20),/bolets/hygrophorus-latitabundus,01,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,bolets de soca,ca,390,3,0,14.7,10,10,False,page 1 (4-10),/bolets-de-soca,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,bolet de soca,ca,390,53,0,19.5,14,14,False,striking (11-20),/bolets-de-soca,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,mataparents,ca,320,3,0,55.7,,55.7,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,farinera borda,ca,320,91,0,26.5,17,17,False,striking (11-20),/bolets/farinera-borda,12,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,carlets,ca,320,3,0,25.7,,25.7,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,cama de perdiu,ca,320,102,0,26.8,29,26.8,False,weak (21-50),/bolets/cama-de-perdiu,12,Rework: dedicated page or template upgrade
C Species pages,apagallums,ca,320,69,0,57.8,38,38,False,weak (21-50),/bolets/apagallums,10,Rework: dedicated page or template upgrade
C Species pages,tipus de ceps,ca,260,79,0,26.6,7,7,False,page 1 (4-10),/zones/ceps,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,sureny,ca,260,2,0,72.5,,72.5,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,pota de perdiu,ca,260,80,0,30.5,33,30.5,False,weak (21-50),/bolets/cama-de-perdiu,10,Rework: dedicated page or template upgrade
C Species pages,fredolics toxics,ca,260,8,0,11.4,,11.4,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,01,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,fredolic toxic,ca,260,2,0,36,,36,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,01,Rework: dedicated page or template upgrade
C Species pages,escarlet,ca,260,1,0,9,,9,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,carreretes,ca,260,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,bolet de tinta,ca,260,89,0,37.9,20,20,False,striking (11-20),/bolets/bolet-de-tinta,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,fredolic bolet,ca,260,54,0,43.3,27,27,False,weak (21-50),/bolets/tricholoma-terreum,,Rework: dedicated page or template upgrade
C Species pages,bolets de tinta,ca,260,44,0,32.2,17,17,False,striking (11-20),/bolets/bolet-de-tinta,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,rossinyols,ca,250,2,0,81,,81,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,New/rebuilt page
C Species pages,sabatera,ca,210,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,llenega negra,ca,210,2,0,34.5,,34.5,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,llanegues,ca,210,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,apagallums bolet toxic,ca,210,54,0,34.7,10,10,False,page 1 (4-10),/bolets/apagallums,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,pinatell bolet,ca,210,55,0,33,16,16,False,striking (11-20),/compare/rovello-vs-pinetell,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,ous de reig,ca,180,2,0,53.5,,53.5,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,New/rebuilt page
C Species pages,ou de reig,ca,180,82,0,54.2,41,41,False,weak (21-50),/bolets/amanita-caesarea,12,Rework: dedicated page or template upgrade
C Species pages,pebras,ca,170,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,ou de reig falso,ca,170,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,Create page (or add to tracking if page exists)
C Species pages,llenega blanca,ca,170,90,0,45.6,24,24,False,weak (21-50),/bolets/llenega-blanca,10,Rework: dedicated page or template upgrade
C Species pages,bolet de xop,ca,170,24,0,40.2,17,17,False,striking (11-20),/bolets/cyclocybe-cylindracea,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,bolet apagallums,ca,170,50,0,49.2,29,29,False,weak (21-50),/bolets/apagallums,,Rework: dedicated page or template upgrade
C Species pages,bolets de xop,ca,170,20,0,74.5,39,39,False,weak (21-50),/bolets,,Rework: dedicated page or template upgrade
C Species pages,sabatera bolet,ca,140,1,0,48,,48,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,reig bord,ca,140,69,0,32.9,7,7,False,page 1 (4-10),/bolets/amanita-muscaria,12,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,llengua de bou bolet,ca,140,67,0,47.1,72,47.1,False,weak (21-50),/bolets/hydnum-repandum,10,Rework: dedicated page or template upgrade
C Species pages,fredolic bord,ca,140,73,0,36.7,21,21,False,weak (21-50),/bolets/tricholoma-pardinum,10,Rework: dedicated page or template upgrade
C Species pages,bolet cep,ca,140,72,0,31.0,22,22,False,weak (21-50),/compare/cep-vs-cep-estiu,10,Rework: dedicated page or template upgrade
C Species pages,bolet rossinyol,ca,140,62,0,24.0,16,16,False,striking (11-20),/compare/rossinyol-vs-bolet-olivera,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,camagroc bolet,ca,140,58,0,44.3,35,35,False,weak (21-50),/bolets/craterellus-lutescens,,Rework: dedicated page or template upgrade
C Species pages,camagrocs bolets,ca,140,57,0,50.4,36,36,False,weak (21-50),/bolets/craterellus-lutescens,,Rework: dedicated page or template upgrade
C Species pages,bolets ceps,ca,140,80,0,35.1,69,35.1,False,weak (21-50),/bolets/cep,,Rework: dedicated page or template upgrade
C Species pages,cep bolet,ca,10,127,1,26.4,12,12,False,striking (11-20),/bolets/cep-negre,08,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,pinetells,ca,0,127,1,12.1,6,6,False,page 1 (4-10),/zones/solsones/port-del-comte/pinetells,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,cep d'estiu,ca,0,127,1,9.3,6,6,False,page 1 (4-10),/compare/cep-vs-cep-estiu,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,peu de rata toxic,ca,110,2,0,12.5,,12.5,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,ou de reig dolent,ca,110,94,0,46.5,76,46.5,False,weak (21-50),/bolets/amanita-caesarea,10,Rework: dedicated page or template upgrade
C Species pages,mataparent,ca,110,2,0,35,,35,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,Rework: dedicated page or template upgrade
C Species pages,lleterola bolet,ca,110,2,0,32,,32,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,rossinyols bolets,ca,110,89,0,31.4,25,25,False,weak (21-50),/compare/rossinyol-vs-bolet-olivera,,Rework: dedicated page or template upgrade
C Species pages,moixernó de tardor,ca,110,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,tofones,ca,110,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,bolet de greix,ca,70,115,0,13.6,6,6,False,page 1 (4-10),/compare/murgola-vs-bolet-greix,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,candeleta de prat,ca,0,102,0,2.5,1,1,True,owned (1-3),/bolets/candeleta-de-vorada,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,pimpinella morada,ca,90,2,0,20,,20,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,ou de reig bord,ca,90,5,0,56.4,,56.4,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,12,New/rebuilt page
C Species pages,gita de bruixa,ca,90,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,carreretes bolet,ca,90,49,0,59.0,71,59.0,False,buried (>50),/bolets-d-estiu,12,New/rebuilt page
C Species pages,bolet vermell,ca,90,3,0,58.3,,58.3,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,matagent,ca,0,101,0,9.8,5,5,True,page 1 (4-10),/compare/cep-vs-matagent,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rovello bolet,ca,90,49,0,65.1,28,28,False,weak (21-50),/bolets/rovello,,Rework: dedicated page or template upgrade
C Species pages,bolets carlets,ca,90,45,0,53.5,31,31,False,weak (21-50),/bolets-verinosos,,Rework: dedicated page or template upgrade
C Species pages,camasec,ca,0,99,0,30.4,24,24,False,weak (21-50),/bolets/camasec,,Rework: dedicated page or template upgrade
C Species pages,llora verda,ca,0,95,0,19.1,7,7,False,page 1 (4-10),/bolets/llora-verda,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,cortinari rogenc,ca,0,89,0,1.5,1,1,True,owned (1-3),/bolets/cortinari-mortal,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,trompeta de la mort,ca,20,87,0,55.0,24,24,False,weak (21-50),/bolets/craterellus-cornucopioides,10,Rework: dedicated page or template upgrade
C Species pages,peu de rata comestible,ca,0,87,0,50.5,34,34,False,weak (21-50),/bolets/peu-de-rata-daurat,,Rework: dedicated page or template upgrade
C Species pages,cortinari metzinós,ca,0,85,0,8.8,1,1,True,owned (1-3),/bolets/cortinari-metzinos,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,cep de pi,ca,0,85,0,11.7,4,4,False,page 1 (4-10),/zones/ceps,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,farinera pudent,ca,0,84,1,3.5,3,3,False,owned (1-3),/bolets/farinera-pudent,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,rossinyol bolet,ca,10,84,0,19.6,14,14,False,striking (11-20),/compare/rossinyol-vs-bolet-olivera,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,cama de perdiu confusions,ca,70,83,0,21.4,14,14,False,striking (11-20),/bolets-verinosos,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,pollancró,ca,0,82,0,7.7,4,4,False,page 1 (4-10),/bolets/pollancro,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,carner bord,ca,0,79,0,5.1,3,3,False,owned (1-3),/bolets/carner-bord,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,tipus de rovellons,ca,70,4,0,11.2,,11.2,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,peu de rata bord,ca,70,9,0,12.9,,12.9,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,fredolic gros,ca,50,78,0,49.8,64,49.8,False,weak (21-50),/bolets/fredolic,10,Rework: dedicated page or template upgrade
C Species pages,fals rossinyol bolet,ca,70,65,0,11.2,6,6,False,page 1 (4-10),/fals-rossinyol,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,ou de reig bolet,ca,70,67,0,57.9,16,16,False,striking (11-20),/bolets/amanita-caesarea,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,carlets bolet,ca,70,53,0,60.6,38,38,False,weak (21-50),/bolets/carlet,,Rework: dedicated page or template upgrade
C Species pages,fals cep,ca,20,78,2,16.7,2,2,True,owned (1-3),/compare/cep-vs-cep-estiu,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,gírgola de panical,ca,50,76,0,31.6,15,15,False,striking (11-20),/bolets/pleurotus-eryngii,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,pixaca,ca,0,76,0,17.2,5,5,False,page 1 (4-10),/bolets/amanita-pantherina,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rovello,es-wide,0,75,0,65.2,79,65.2,False,buried (>50),/compare/rovello-vs-rovello-de-cabra,,New/rebuilt page
C Species pages,paxil·le involut,ca,0,73,1,16.8,1,1,False,owned (1-3),/bolets/paxille-toxic,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,marçot,ca,0,70,0,27.6,,27.6,False,weak (21-50),/temporada/marc,,Rework: dedicated page or template upgrade
C Species pages,llenegues,ca,0,71,0,51.7,14,14,False,striking (11-20),/zones/solsones/sant-llorenc-de-morunys/llenegues,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,pinatell de calceta,ca,50,71,0,26.7,18,18,False,striking (11-20),/bolets/molleric-de-calceta,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,molleric de calceta,ca,20,69,0,9.5,2,2,False,owned (1-3),/bolets/molleric-de-calceta,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,cama sec bolet,ca,50,68,0,58.2,68,58.2,False,buried (>50),/bolets/camasec,,New/rebuilt page
C Species pages,ous reig,ca,50,61,0,62.3,46,46,False,weak (21-50),/bolets/ou-de-reig,,Rework: dedicated page or template upgrade
C Species pages,pinetell,ca,10,58,0,21.9,16,16,False,striking (11-20),/bolets/pinetell,10,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,molleric granellut,ca,10,58,0,15.4,7,7,False,page 1 (4-10),/bolets/molleric-granellut,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,cep negre,ca,20,57,0,8.7,6,6,False,page 1 (4-10),/bolets/cep-negre,10,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rovelló vs pinetell,ca,0,57,0,13.4,6,6,True,page 1 (4-10),/compare/rovello-vs-pinetell,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,cogomassa,ca,0,57,0,10.7,4,4,False,page 1 (4-10),/bolets/amanita-verna,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,pinetell de calceta,ca,50,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,bolets blancs,ca,50,1,0,53,,53,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,bolet groc,ca,50,1,0,38,,38,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,bolet blanc,ca,50,1,0,31,,31,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,bec de perdiu,ca,50,1,0,35,,35,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,fals camagroc,ca,10,55,0,5.7,4,4,False,page 1 (4-10),/compare/camagroc-vs-fals-camagroc,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,camperol bolet,ca,0,53,0,21.2,10,10,False,page 1 (4-10),/bolets/agaricus-campestris,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,bolet d'olivera,ca,10,51,0,7.9,6,6,False,page 1 (4-10),/compare/girgola-vs-bolet-olivera,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,peu blau bolet,ca,10,48,0,23.6,54,23.6,False,weak (21-50),/bolets,10,Rework: dedicated page or template upgrade
C Species pages,pinetell bord,ca,40,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,bolet lila,ca,40,5,0,21.6,,21.6,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Rework: dedicated page or template upgrade
C Species pages,moixernó,ca,0,43,0,74.7,67,67,False,buried (>50),/bolets/moixero,,New/rebuilt page
C Species pages,verderol bolet,ca,30,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,brumosa bolet,ca,30,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,ceps catala,ca,,28,0,5.6,,5.6,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,cep vermell,ca,0,27,0,32.2,,32.2,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,Rework: dedicated page or template upgrade
C Species pages,pollancrons,ca,20,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,llengua de bou,ca,20,7,0,53.6,,53.6,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,bolet negre,ca,20,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,tofona negra,ca,0,20,0,28.1,16,16,False,striking (11-20),/bolets/tofona-negra,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,cep groc,ca,0,21,1,22.2,,22.2,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,Rework: dedicated page or template upgrade
C Species pages,pinetell i rovello,ca,,16,0,46.8,,46.8,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,Rework: dedicated page or template upgrade
C Species pages,rovello pinetell,ca,,15,0,49.8,,49.8,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,Rework: dedicated page or template upgrade
C Species pages,fredolics,ca,0,14,0,54.9,43,43,False,weak (21-50),/bolets/fredolic,,Rework: dedicated page or template upgrade
C Species pages,diferencia entre pinetell i rovello,ca,0,14,0,8,,8,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,camperol,ca,,13,0,11.2,,11.2,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,trompetes de la mort,ca,10,1,0,59,,59,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,New/rebuilt page
C Species pages,pinatell,ca,10,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,pet de llop,ca,10,7,0,16.3,,16.3,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,05,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,lleterola,ca,10,1,0,11,,11,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,03,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,bolets taronges,ca,10,0,0,,,,False,not ranking / untracked,/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,10,Create page (or add to tracking if page exists)
C Species pages,bolets toxics cep bolet confusio,ca,,12,0,6,,6,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,peus de rata comestibles,ca,,9,0,55.3,,55.3,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,New/rebuilt page
C Species pages,cep rogenc,ca,,8,1,3.6,,3.6,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,pinatells,ca,,8,0,70.2,,70.2,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,New/rebuilt page
C Species pages,bolets de soca comestibles,ca,,7,1,9.6,,9.6,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,ceps bolet,ca,,7,0,56,,56,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,New/rebuilt page
C Species pages,fals rossinyol,ca,,7,0,7.1,,7.1,False,page 1 (4-10),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Push to top-3: internal links, snippet, answer-first block"
C Species pages,rovello blanc,ca,,7,0,14.4,,14.4,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,ceps catalunya,ca,,6,0,12.3,,12.3,False,striking (11-20),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,"Refresh page: title/H1 match, add section, links from hubs"
C Species pages,mare del rovello,ca,,6,0,82.8,,82.8,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,New/rebuilt page
C Species pages,marçot bolet,ca,,6,0,51,,51,False,buried (>50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,New/rebuilt page
C Species pages,diferència rossinyol fals rossinyol,ca,0,5,0,5,3,3,False,owned (1-3),/fals-rossinyol,,"Defend: answer-first block, freshness, AIO citation check"
C Species pages,bolet llengua de bou,ca,,5,0,47.2,,47.2,False,weak (21-50),/bolets/<slug>: upgrade compact fitxes; NEW fitxes for missing species,,Rework: dedicated page or template upgrade
