competitor,source_name,source_scientific_name,comparison_name,our_status,our_species_id,priority,evidence_kind,source_url,local_mentions,notes
bolets.info,Ou de Reig,Amanita caesarea,Amanita caesarea,covered,amanita-caesarea,covered,profile,https://bolets.info/fitxa-bolet/ou-de-reigamanita-caesareamonjola/,data/species-gallery-media.ts:420; data/species-gallery-media.ts:430; data/species-media.ts:218; data/species.ts:45; data/species.ts:603; data/species.ts:943; data/species.ts:1218,
bolets.info,Cassoleta vermella,Sarcoscypha coccinea,Sarcoscypha coccinea,missing,,P3,profile,https://bolets.info/fitxa-bolet/cassoleta-vermellasarcoscypha-coccineapeziza-escarlata/,,
bolets.info,Farinera Borda,Amanita phalloides,Amanita phalloides,covered,amanita-phalloides,covered,profile,https://bolets.info/fitxa-bolet/farinera-bordaamanita-phalloides/,data/culinary-profiles.ts:222; data/culinary-profiles.ts:482; data/species-gallery-media.ts:728; data/species-gallery-media.ts:738; data/species-media.ts:386; data/species.ts:173; data/species.ts:605; data/species.ts:746; data/species.ts:922; data/species.ts:944; data/species.ts:945; data/reference-species.ts:95; data/reference-species.ts:153; data/reference-species.ts:210,
bolets.info,Ou del diable,Phallus impudicus,Phallus impudicus,missing,,P3,profile,https://bolets.info/fitxa-bolet/ou-del-diablephallus-impudicusfalo-hediondo/,,
bolets.info,Trompeta,Craterellus cornucopioides,Craterellus cornucopioides,covered,craterellus-cornucopioides,covered,profile,https://bolets.info/fitxa-bolet/trompetacraterellus-cornucopioidestrompeta-de-los-muertos/,data/species-gallery-media.ts:301; data/species-gallery-media.ts:311; data/species-media.ts:158; data/species.ts:512; data/species.ts:518,
bolets.info,Fetjó,Rhizopogon roseolus,Rhizopogon roseolus,missing,,P3,profile,https://bolets.info/fitxa-bolet/fetjorhizopogon-roseolus/,,
bolets.info,Pebràs,Russula delica,Russula delica,missing,,P2,profile,https://bolets.info/fitxa-bolet/pebrasrussula-delicarusula-blanca/,,
bolets.info,llenega d’alzinar,Hygrophorus persoonii,Hygrophorus persoonii,mentioned-only,,P2,profile,https://bolets.info/fitxa-bolet/llenega-dalzinarhygrophorus-persooniillenegall/,data/species.ts:597,
bolets.info,Fredolic gros,Tricholoma portentosum,Tricholoma portentosum,covered,tricholoma-portentosum,covered,profile,https://bolets.info/fitxa-bolet/fredolic-gros-fredolic-allenegattricholoma-portentosumcapuchina-tricoloma-portentoso/,data/species-gallery-media.ts:1036; data/species-gallery-media.ts:1046; data/species-media.ts:614; data/species.ts:113; data/species.ts:574; data/species.ts:1257,
bolets.info,Pet de llop,Lycoperdon perlatum,Lycoperdon perlatum,covered,lycoperdon-perlatum,covered,profile,https://bolets.info/fitxa-bolet/pet-de-lloplycoperdon-perlatumcuesco-de-lobo-perlado/,data/field-guide-sources.ts:41; data/field-guide-sources.ts:46; data/reference-species.ts:69; data/reference-species.ts:148,
bolets.info,Pollancró,Agrocybe aegerita,Cyclocybe cylindracea,covered,cyclocybe-cylindracea,covered,profile,https://bolets.info/fitxa-bolet/pollancroagrocybe-aegeritaseta-de-chopo/,data/species-gallery-media.ts:1080; data/species-gallery-media.ts:1090; data/species-media.ts:638; data/species.ts:191; data/species.ts:197; data/species.ts:1023; data/species.ts:1447,Legacy pollancro name already discussed in our Cyclocybe cylindracea profile.
bolets.info,Fredolic,Tricholoma terreum,Tricholoma terreum,covered,tricholoma-terreum,covered,profile,https://bolets.info/fitxa-bolet/fredolic-freduluc-negrettricholoma-terreumraton-negrilla/,data/species-gallery-media.ts:376; data/species-gallery-media.ts:386; data/species-media.ts:194; data/species.ts:559; data/species.ts:564; data/species.ts:572; data/species.ts:1256,
bolets.info,Peu de rata bord,Ramaria formosa,Ramaria formosa,mentioned-only,,P1,profile,https://bolets.info/fitxa-bolet/peu-de-rata-bordramaria-formosaramaria-elegante/,data/species.ts:706,
bolets.info,Gírgola,Pleurotus ostreatus,Pleurotus ostreatus,covered,pleurotus-ostreatus,covered,profile,https://bolets.info/fitxa-bolet/girgolapleurotus-ostreatus/,data/species-gallery-media.ts:640; data/species-gallery-media.ts:650; data/species-media.ts:338; data/species.ts:329; data/species.ts:763,
bolets.info,Peu violeta,Lepista nuda,Lepista nuda,covered,lepista-nuda,covered,profile,https://bolets.info/fitxa-bolet/peu-violeta-pimpinella-morada-moixero-blaulepista-nuda/,data/species-gallery-media.ts:530; data/species-gallery-media.ts:540; data/species-media.ts:278; data/species.ts:53; data/species.ts:658,
bolets.info,Anisat,Clitocybe odora,Clitocybe odora,missing,,P3,profile,https://bolets.info/fitxa-bolet/anisatclitocybe-odoraanisada/,,
bolets.info,Gírgola d’olivera,Omphalotus olearius,Omphalotus olearius,covered,omphalotus-olearius,covered,profile,https://bolets.info/fitxa-bolet/girgola-dolivera-matadonaomphalotus-olearius/,data/species-gallery-media.ts:103; data/species-gallery-media.ts:113; data/species.ts:59; data/species.ts:330; data/species.ts:489; data/species.ts:784; data/reference-species.ts:41; app/fals-rossinyol/page.tsx:53,
bolets.info,Pimpinella rosada,Laccaria laccata,Laccaria laccata,missing,,P3,profile,https://bolets.info/fitxa-bolet/pimpinella-rosadalaccaria-laccatalacaria-rosada/,,
bolets.info,Bolet de pi,Hypholoma fasciculare,Hypholoma fasciculare,mentioned-only,,P1,profile,https://bolets.info/fitxa-bolet/bolet-de-pihypholoma-fascicularehifoloma-de-laminas-verdes/,data/species.ts:213,
bolets.info,Llenega,Hygrophorus latitabundus,Hygrophorus latitabundus,covered,hygrophorus-latitabundus,covered,profile,https://bolets.info/fitxa-bolet/llenegahygrophorus-latitabundus-britehigroforo/,data/species-gallery-media.ts:398; data/species-gallery-media.ts:408; data/species-media.ts:206; data/species.ts:582; data/species.ts:587; data/species.ts:595,
bolets.info,Pinetell de calceta,Suillus luteus,Suillus luteus,covered,suillus-luteus,covered,profile,https://bolets.info/fitxa-bolet/pinetell-de-calcetasuillus-luteusboleto-anillado/,data/species-gallery-media.ts:552; data/species-gallery-media.ts:562; data/species-media.ts:290; data/species.ts:290; data/species.ts:666,
bolets.info,Bolet de Tinta,Coprinus comatus,Coprinus comatus,covered,coprinus-comatus,covered,profile,https://bolets.info/fitxa-bolet/bolet-de-tinta-pixaca-barbutcoprinus-comatusbarbuda-matacandil/,data/species-gallery-media.ts:1102; data/species-gallery-media.ts:1112; data/species-media.ts:650; data/species.ts:230,
bolets.info,Llengua de bou,Hydnum repandum,Hydnum repandum,covered,hydnum-repandum,covered,profile,https://bolets.info/fitxa-bolet/llengua-de-bouhydnum-repandum-gamuza/,data/species-gallery-media.ts:323; data/species-gallery-media.ts:333; data/species-media.ts:170; data/species.ts:526,
bolets.info,Rossinyol,Cantharellus cibarius,Cantharellus cibarius,covered,cantharellus-cibarius,covered,profile,https://bolets.info/fitxa-bolet/rossinyolcantharellus-cibariusrebozuelo-cabrilla/,data/species-gallery-media.ts:257; data/species-gallery-media.ts:267; data/species-media.ts:134; data/species.ts:61; data/species.ts:484; data/species.ts:487; data/reference-species.ts:36; app/fals-rossinyol/page.tsx:52,
bolets.info,Cep,Boletus edulis,Boletus edulis,covered,boletus-edulis,covered,profile,https://bolets.info/fitxa-bolet/cep/,data/editorial.ts:148; data/species-gallery-media.ts:125; data/species-gallery-media.ts:135; data/species-media.ts:62; data/species.ts:29; data/species.ts:37; data/species.ts:401; data/species.ts:404; data/species.ts:413; data/species.ts:422; data/species.ts:434; data/species.ts:450; app/zones/ceps/page.tsx:86,
bolets.info,Apagallums,Macrolepiota procera,Macrolepiota procera,covered,macrolepiota-procera,covered,profile,https://bolets.info/fitxa-bolet/apagallums-cogoma-cogomella-maneta-paloma/,data/species-gallery-media.ts:344; data/species-gallery-media.ts:354; data/species-gallery-media.ts:364; data/species-media.ts:182; data/species.ts:536; data/species.ts:541; data/species.ts:549; data/species.ts:983,
bolets.info,Micena,Mycena pura,Mycena pura,missing,,P3,profile,https://bolets.info/fitxa-bolet/micenamycena-puramicena-pura/,,
bolets.com,Llengua de bou blanca,Hydnum albidum,Hydnum albidum,missing,,P1,profile,https://www.bolets.com/la-llengua-de-bou-blanca.html,,
bolets.com,Trompeta cendrosa,Cantharellus cinereus,Craterellus cinereus,mentioned-only,,P2,comparison-article,https://www.bolets.com/trompeta-de-la-mort-vs-trompeta-cendrosa.html,data/species.ts:520,
bolets.com,Lleterola vermella,Lactarius rugatus,Lactifluus rugatus,missing,,P1,profile,https://www.bolets.com/lleterola-vermella.html,,
bolets.com,Sabatera,Albatrellus pes-caprae,Albatrellus pes-caprae,missing,,P3,profile,https://www.bolets.com/la-sabatera-especie-a-protegir.html,,Conservation framing; verify current nomenclature and status before publication.
bolets.com,Rovello d’avet,Lactarius salmonicolor,Lactarius salmonicolor,missing,,P2,article-section,https://www.bolets.com/rovello.html,,
bolets.com,Rovello de pi negre,Lactarius Queticolor,Lactarius quieticolor,missing,,P2,article-section,https://www.bolets.com/rovello.html,,Competitor spelling preserved; probable quieticolor requires source-backed validation.
bolets.com,Rovello vinader,Lactarius vinosus,Lactarius vinosus,missing,,P2,article-section,https://www.bolets.com/rovello.html,,
bolets.com,Rovello d’avet vermell,Lactarius deterrimus,Lactarius deterrimus,missing,,P3,incidental-mention,https://www.bolets.com/rovello.html,,
